earnings_date,earnings_flag
2025-03-26,1
2024-12-10,1
2024-09-10,1
2024-06-07,1
2024-03-26,1
2023-12-06,1
2023-09-06,1
2023-06-07,1
2023-03-21,1
2022-12-07,1
2022-09-07,1
2022-06-01,1
2022-03-17,1
2021-12-08,1
2021-09-08,1
2021-06-09,1
2021-03-23,1
2020-12-08,1
2020-09-09,1
2020-06-09,1
2020-03-26,1
2019-12-10,1
2019-09-10,1
2019-06-04,1
2019-04-02,1
2018-11-29,1
2018-09-06,1
2018-05-31,1
2018-03-28,1
2017-11-21,1
2017-08-24,1
2017-05-25,1
2017-03-23,1
2016-11-22,1
2016-08-25,1
2016-05-26,1
2016-03-24,1
2015-11-23,1
2015-08-27,1
2015-05-28,1
2015-03-26,1
2014-11-20,1
2014-08-21,1
2014-05-22,1
2014-03-27,1
2013-11-21,1
2013-08-22,1
2013-05-23,1
2013-03-28,1
2012-11-15,1
2012-08-16,1
2012-05-17,1
2012-03-22,1
2011-11-17,1
2011-08-18,1
2011-05-19,1
2011-03-24,1
2010-11-18,1
2010-08-19,1
2010-05-20,1
2010-03-18,1
2009-11-19,1
2009-08-20,1
2009-05-21,1
2009-03-26,1
2008-11-20,1
2008-08-21,1
2008-05-22,1
2008-03-18,1
2007-11-20,1
2007-08-23,1
2007-05-23,1
2007-03-27,1
2006-11-21,1
2006-08-17,1
2006-05-18,1
2006-03-21,1
2005-11-29,1
2005-08-18,1
2005-05-24,1
2005-03-23,1
2004-11-15,1
2004-08-17,1
2004-05-18,1
2004-03-17,1
2003-11-19,1
2003-08-18,1
2003-05-21,1
2003-03-20,1
2002-11-18,1
2002-08-19,1
2002-05-20,1
2002-03-12,1
